complaint_id,customer_name,category,priority,status,assigned_agent,created_date,resolved_date,resolution_time_hours,sla_threshold_hours,description
COMP-20250313-0001,Customer_029,Account Issues,Low,Escalated,Bob Smith,2025-03-13 23:06:00,,,72,Account Issues reported by Customer_029 with Low priority.
COMP-20250422-0002,Customer_012,Delivery Delays,Low,Closed,Alice Johnson,2025-04-22 07:32:00,2025-04-24 01:02:00,41.5,72,Delivery Delays reported by Customer_012 with Low priority.
COMP-20251029-0003,Customer_058,Account Issues,Medium,Closed,Bob Smith,2025-10-29 08:51:00,2025-10-30 20:39:00,35.8,48,Account Issues reported by Customer_058 with Medium priority.
COMP-20260506-0004,Customer_028,Service Disruption,Medium,Resolved,Bob Smith,2026-05-06 10:06:00,2026-05-08 23:42:00,61.6,48,Service Disruption reported by Customer_028 with Medium priority.
COMP-20251002-0005,Customer_059,Customer Service Complaints,Medium,Resolved,Alice Johnson,2025-10-02 03:59:00,2025-10-03 07:17:00,27.3,48,Customer Service Complaints reported by Customer_059 with Medium priority.
COMP-20250409-0006,Customer_074,Customer Service Complaints,Medium,Open,Carol White,2025-04-09 22:04:00,,,48,Customer Service Complaints reported by Customer_074 with Medium priority.
COMP-20260320-0007,Customer_030,Service Disruption,High,In Progress,Grace Wilson,2026-03-20 03:24:00,,,24,Service Disruption reported by Customer_030 with High priority.
COMP-20251210-0008,Customer_027,Account Issues,High,Resolved,Carol White,2025-12-10 08:44:00,2025-12-11 00:20:00,15.6,24,Account Issues reported by Customer_027 with High priority.
COMP-20250825-0009,Customer_021,Delivery Delays,Medium,Closed,Bob Smith,2025-08-25 12:17:00,2025-08-26 19:11:00,30.9,48,Delivery Delays reported by Customer_021 with Medium priority.
COMP-20250428-0010,Customer_008,Delivery Delays,Low,Resolved,Grace Wilson,2025-04-28 01:51:00,2025-05-02 21:39:00,115.8,72,Delivery Delays reported by Customer_008 with Low priority.
COMP-20250419-0011,Customer_041,Service Disruption,Critical,Closed,Frank Miller,2025-04-19 20:31:00,2025-04-20 00:01:00,3.5,4,Service Disruption reported by Customer_041 with Critical priority.
COMP-20251003-0012,Customer_072,Technical Problems,Low,Resolved,Frank Miller,2025-10-03 08:47:00,2025-10-05 22:53:00,62.1,72,Technical Problems reported by Customer_072 with Low priority.
COMP-20250910-0013,Customer_066,Technical Problems,Medium,In Progress,Bob Smith,2025-09-10 02:48:00,,,48,Technical Problems reported by Customer_066 with Medium priority.
COMP-20251102-0014,Customer_055,Billing Issues,Low,Resolved,Frank Miller,2025-11-02 02:24:00,2025-11-04 22:36:00,68.2,72,Billing Issues reported by Customer_055 with Low priority.
COMP-20251216-0015,Customer_015,Delivery Delays,Low,Closed,Alice Johnson,2025-12-16 17:48:00,2025-12-23 16:42:00,166.9,72,Delivery Delays reported by Customer_015 with Low priority.
COMP-20260513-0016,Customer_034,Billing Issues,Low,Resolved,Alice Johnson,2026-05-13 16:48:00,2026-05-22 04:48:00,204.0,72,Billing Issues reported by Customer_034 with Low priority.
COMP-20250412-0017,Customer_078,Customer Service Complaints,Medium,Open,Emma Davis,2025-04-12 04:23:00,,,48,Customer Service Complaints reported by Customer_078 with Medium priority.
COMP-20250615-0018,Customer_077,Delivery Delays,Critical,In Progress,Alice Johnson,2025-06-15 15:01:00,,,4,Delivery Delays reported by Customer_077 with Critical priority.
COMP-20250130-0019,Customer_031,Product Defects,High,Open,Carol White,2025-01-30 07:56:00,,,24,Product Defects reported by Customer_031 with High priority.
COMP-20260128-0020,Customer_069,Billing Issues,Low,Closed,Alice Johnson,2026-01-28 04:08:00,2026-01-30 21:14:00,65.1,72,Billing Issues reported by Customer_069 with Low priority.
COMP-20260421-0021,Customer_028,Service Disruption,Low,Open,David Lee,2026-04-21 17:48:00,,,72,Service Disruption reported by Customer_028 with Low priority.
COMP-20250813-0022,Customer_048,Service Disruption,High,Resolved,Frank Miller,2025-08-13 16:28:00,2025-08-15 05:04:00,36.6,24,Service Disruption reported by Customer_048 with High priority.
COMP-20250104-0023,Customer_029,Product Defects,Low,Closed,Emma Davis,2025-01-04 02:45:00,2025-01-04 23:57:00,21.2,72,Product Defects reported by Customer_029 with Low priority.
COMP-20251209-0024,Customer_036,Billing Issues,High,Resolved,Bob Smith,2025-12-09 15:13:00,2025-12-10 08:25:00,17.2,24,Billing Issues reported by Customer_036 with High priority.
COMP-20250408-0025,Customer_053,Delivery Delays,Medium,Resolved,David Lee,2025-04-08 03:06:00,2025-04-08 22:24:00,19.3,48,Delivery Delays reported by Customer_053 with Medium priority.
COMP-20250201-0026,Customer_013,Technical Problems,Medium,Escalated,Frank Miller,2025-02-01 12:46:00,,,48,Technical Problems reported by Customer_013 with Medium priority.
COMP-20250313-0027,Customer_058,Customer Service Complaints,Low,Resolved,Emma Davis,2025-03-13 13:11:00,2025-03-18 06:35:00,113.4,72,Customer Service Complaints reported by Customer_058 with Low priority.
COMP-20250126-0028,Customer_013,Billing Issues,Medium,Open,Emma Davis,2025-01-26 20:34:00,,,48,Billing Issues reported by Customer_013 with Medium priority.
COMP-20250906-0029,Customer_053,Billing Issues,Critical,Open,Bob Smith,2025-09-06 15:13:00,,,4,Billing Issues reported by Customer_053 with Critical priority.
COMP-20260420-0030,Customer_034,Billing Issues,Low,Resolved,David Lee,2026-04-20 14:18:00,2026-04-23 08:06:00,65.8,72,Billing Issues reported by Customer_034 with Low priority.
